/Users/adamtc007/dev/sem-os/crates/sem_os_taxonomy/src/builder.rs:210 | INTERNAL | sem_os_ontology::membership::MembershipKind | sem_os_taxonomy
/Users/adamtc007/dev/sem-os/crates/sem_os_policy/src/gates/technical.rs:13 | INTERNAL | sem_os_ontology::verb_contract::VerbContractBody | sem_os_policy
/Users/adamtc007/dev/sem-os/crates/sem_os_policy/src/gates/technical.rs:341 | GLOB | sem_os_ontology::verb_contract::* | sem_os_policy
/Users/adamtc007/dev/sem-os/crates/sem_os_policy/src/gates/technical.rs:342 | GLOB | sem_os_types::* | sem_os_policy
/Users/adamtc007/dev/sem-os/crates/sem_os_policy/src/gates/technical.rs:498 | GLOB | sem_os_ontology::derivation_spec::* | sem_os_policy
/Users/adamtc007/dev/sem-os/crates/sem_os_policy/src/gates/mod.rs:488 | INTERNAL | sem_os_ontology::derivation_spec::DerivationSpecBody | sem_os_policy
/Users/adamtc007/dev/sem-os/crates/sem_os_policy/src/gates/mod.rs:656 | GLOB | sem_os_types::* | sem_os_policy
/Users/adamtc007/dev/sem-os/crates/sem_os_policy/src/gates/mod.rs:964 | GLOB | sem_os_ontology::derivation_spec::* | sem_os_policy
/Users/adamtc007/dev/sem-os/crates/sem_os_policy/src/gates/governance.rs:9 | INTERNAL | sem_os_ontology::derivation_spec::DerivationSpecBody | sem_os_policy
/Users/adamtc007/dev/sem-os/crates/sem_os_policy/src/gates/governance.rs:397 | GLOB | sem_os_ontology::derivation_spec::* | sem_os_policy
/Users/adamtc007/dev/sem-os/crates/sem_os_policy/src/gates/governance.rs:398 | GLOB | sem_os_types::* | sem_os_policy
/Users/adamtc007/dev/sem-os/crates/sem_os_policy/src/derivation.rs:11 | INTERNAL | sem_os_ontology::derivation_spec::DerivationExpression | sem_os_policy
/Users/adamtc007/dev/sem-os/crates/sem_os_policy/src/derivation.rs:11 | INTERNAL | sem_os_ontology::derivation_spec::DerivationSpecBody | sem_os_policy
/Users/adamtc007/dev/sem-os/crates/sem_os_policy/src/derivation.rs:11 | INTERNAL | sem_os_ontology::derivation_spec::NullSemantics | sem_os_policy
/Users/adamtc007/dev/sem-os/crates/sem_os_policy/src/derivation.rs:184 | INTERNAL | sem_os_ontology::derivation_spec:: | sem_os_policy
/Users/adamtc007/dev/sem-os/crates/sem_os_policy/src/affinity/discovery.rs:9 | INTERNAL | sem_os_ontology::verb_contract::VerbContractBody | sem_os_policy
/Users/adamtc007/dev/sem-os/crates/sem_os_policy/src/affinity/builder.rs:13 | INTERNAL | sem_os_ontology::attribute_def::AttributeDefBody | sem_os_policy
/Users/adamtc007/dev/sem-os/crates/sem_os_policy/src/affinity/builder.rs:14 | INTERNAL | sem_os_ontology::derivation_spec::DerivationSpecBody | sem_os_policy
/Users/adamtc007/dev/sem-os/crates/sem_os_policy/src/affinity/builder.rs:15 | INTERNAL | sem_os_ontology::entity_type_def::EntityTypeDefBody | sem_os_policy
/Users/adamtc007/dev/sem-os/crates/sem_os_policy/src/affinity/builder.rs:16 | INTERNAL | sem_os_ontology::relationship_type_def::RelationshipTypeDefBody | sem_os_policy
/Users/adamtc007/dev/sem-os/crates/sem_os_policy/src/affinity/builder.rs:17 | INTERNAL | sem_os_ontology::verb_contract::VerbContractBody | sem_os_policy
/Users/adamtc007/dev/sem-os/crates/sem_os_policy/src/affinity/builder.rs:309 | INTERNAL | sem_os_ontology::derivation_spec::DerivationInput | sem_os_policy
/Users/adamtc007/dev/sem-os/crates/sem_os_policy/src/observatory/orientation.rs:10 | INTERNAL | sem_os_types::agent_mode::AgentMode | sem_os_policy
/Users/adamtc007/dev/sem-os/crates/sem_os_policy/src/observatory/projection.rs:12 | INTERNAL | sem_os_types::agent_mode::AgentMode | sem_os_policy
/Users/adamtc007/dev/sem-os/crates/sem_os_policy/src/enforce.rs:11 | INTERNAL | sem_os_ontology::attribute_def::AttributeDefBody | sem_os_policy
/Users/adamtc007/dev/sem-os/crates/sem_os_policy/src/enforce.rs:210 | GLOB | sem_os_types::* | sem_os_policy
/Users/adamtc007/dev/sem-os/crates/sem_os_policy/src/service.rs:55 | GLOB | sem_os_types::* | sem_os_policy
/Users/adamtc007/dev/sem-os/crates/sem_os_policy/src/service.rs:1980 | INTERNAL | sem_os_ontology::constellation_map_def::ConstellationMapDefBody | sem_os_policy
/Users/adamtc007/dev/sem-os/crates/sem_os_policy/src/authoring/ports.rs:7 | INTERNAL | sem_os_core::error::SemOsError | sem_os_policy
/Users/adamtc007/dev/sem-os/crates/sem_os_policy/src/authoring/ports.rs:8 | INTERNAL | sem_os_core::principal::Principal | sem_os_policy
/Users/adamtc007/dev/sem-os/crates/sem_os_policy/src/authoring/bundle.rs:10 | INTERNAL | sem_os_core::error::SemOsError | sem_os_policy
/Users/adamtc007/dev/sem-os/crates/sem_os_policy/src/authoring/governance_verbs.rs:18 | INTERNAL | sem_os_core::error::SemOsError | sem_os_policy
/Users/adamtc007/dev/sem-os/crates/sem_os_policy/src/authoring/governance_verbs.rs:21 | INTERNAL | sem_os_core::principal::Principal | sem_os_policy
/Users/adamtc007/dev/sem-os/crates/sem_os_policy/src/grounding.rs:16 | INTERNAL | sem_os_ontology::constellation_map_def:: | sem_os_policy
/Users/adamtc007/dev/sem-os/crates/sem_os_policy/src/grounding.rs:19 | INTERNAL | sem_os_ontology::state_machine_def::StateMachineDefBody | sem_os_policy
/Users/adamtc007/dev/sem-os/crates/sem_os_policy/src/grounding.rs:340 | INTERNAL | sem_os_ontology::constellation_map_def::ConstellationMapDefBody | sem_os_policy
/Users/adamtc007/dev/sem-os/crates/sem_os_policy/src/grounding.rs:341 | INTERNAL | sem_os_ontology::state_machine_def::StateMachineDefBody | sem_os_policy
/Users/adamtc007/dev/sem-os/crates/sem_os_policy/src/context_resolution.rs:32 | INTERNAL | sem_os_ontology::constellation_family_def::GroundingThreshold | sem_os_policy
/Users/adamtc007/dev/sem-os/crates/sem_os_policy/src/context_resolution.rs:34 | INTERNAL | sem_os_ontology::membership::MembershipKind | sem_os_policy
/Users/adamtc007/dev/sem-os/crates/sem_os_policy/src/context_resolution.rs:35 | INTERNAL | sem_os_ontology::membership::MembershipCondition | sem_os_policy
/Users/adamtc007/dev/sem-os/crates/sem_os_policy/src/context_resolution.rs:35 | INTERNAL | sem_os_ontology::membership::MembershipRuleBody | sem_os_policy
/Users/adamtc007/dev/sem-os/crates/sem_os_policy/src/context_resolution.rs:36 | INTERNAL | sem_os_ontology::policy_rule::PolicyRuleBody | sem_os_policy
/Users/adamtc007/dev/sem-os/crates/sem_os_policy/src/context_resolution.rs:37 | INTERNAL | sem_os_ontology::relationship_type_def::RelationshipTypeDefBody | sem_os_policy
/Users/adamtc007/dev/sem-os/crates/sem_os_policy/src/context_resolution.rs:38 | INTERNAL | sem_os_ontology::universe_def::EntryQuestion | sem_os_policy
/Users/adamtc007/dev/sem-os/crates/sem_os_policy/src/context_resolution.rs:38 | INTERNAL | sem_os_ontology::universe_def::GroundingInput | sem_os_policy
/Users/adamtc007/dev/sem-os/crates/sem_os_policy/src/context_resolution.rs:39 | INTERNAL | sem_os_ontology::view_def::ViewDefBody | sem_os_policy
